gender,총구매액,구매건수,평균구매가격,평균할부개월수,구매브랜드종류,내점일수,수입상품_구매비율,주말방문비율,가을_구매건수,겨울_구매건수,봄_구매건수,여름_구매건수,아침_구매건수,저녁_구매건수,점심_구매건수,내점구매율,주구매코너_가구,주구매코너_가전,주구매코너_기타바이어,주구매코너_니트단품,주구매코너_도자기크리스탈,주구매코너_디자이너부띠끄,주구매코너_문화완구,주구매코너_섬유,주구매코너_수입명품,주구매코너_스포츠,주구매코너_엘레강스캐주얼,주구매코너_영캐주얼,주구매코너_유니캐주얼,주구매코너_유아동복,주구매코너_일반식품,주구매코너_장신구,주구매코너_정장셔츠,주구매코너_조리욕실,주구매코너_침구수예,주구매코너_캐릭터캐주얼,주구매코너_타운모피,주구매코너_트래디셔널캐주얼,주구매코너_피혁A,주구매코너_피혁B,주구매코너_화장품,주구매코너_nan,코너분류_고급,코너분류_기타,코너분류_생활,코너분류_식품,코너분류_잡화,코너분류_패션,코너분류_nan,log_total,morning
0,680100,15,45340,1.7,9,10,26.7,100.0,0.0,9.0,6.0,0.0,0.0,6.0,9.0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,13.429996595534654,0.0
0,353450,9,39272,1.2,6,8,11.1,37.5,0.0,5.0,4.0,0.0,3.0,0.0,6.0,1.12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12.775500140849589,1.3862943611198906
0,5671400,36,157539,2.8,22,16,5.6,37.5,7.0,17.0,12.0,0.0,10.0,11.0,15.0,2.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15.550946735129331,2.3978952727983707
0,1964000,28,70143,1.4,15,14,39.3,28.6,5.0,8.0,15.0,0.0,0.0,18.0,10.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,14.490494277061389,0.0
0,885000,5,177000,6.0,5,2,0.0,100.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,13.69334405393293,0.0
0,3580200,36,99450,2.4,27,20,0.0,50.0,7.0,7.0,8.0,14.0,1.0,11.0,24.0,1.8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,15.090929502052195,0.6931471805599453
0,816300,14,58307,1.7,10,10,7.1,40.0,4.0,4.0,6.0,0.0,0.0,3.0,11.0,1.4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13.612538438478511,0.0
0,752200,5,150440,2.6,5,3,60.0,100.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,1.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,13.53075885445115,0.0
0,1145400,13,88108,1.9,7,9,23.1,22.2,1.0,0.0,2.0,10.0,1.0,8.0,4.0,1.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,13.951265351998961,0.6931471805599453
0,442160,16,27635,1.0,10,6,25.0,33.3,0.0,5.0,11.0,0.0,0.0,3.0,13.0,2.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,12.999429348129338,0.0
